sale_id,customer_id,product_id,store_id,sale_date,quantity_sold,unit_price,payment_method,discount_applied,total_price
120,323,498,73,27-05-2024,7,146.48,Credit Card,5.94,1025.36
121,654,296,82,02-05-2024,9,175.92,Credit Card,2.23,1583.28
122,270,33,31,27-03-2025,9,181.93,Debit Card,10.13,1637.37
123,303,389,62,07-11-2024,6,134.69,Credit Card,0.07,808.14
124,478,309,69,14-10-2024,2,78.16,Cash,1.87,156.32
125,735,220,43,15-04-2024,3,78.01,Online Payment,0.67,234.03
126,17,428,6,02-01-2025,9,212.85,Online Payment,5,1915.65
127,304,54,89,17-09-2024,4,243.84,Online Payment,7.6,975.36
128,797,366,57,18-09-2024,8,40.14,Credit Card,1.7,321.12
129,549,73,15,20-08-2024,2,160.2,Credit Card,15.99,320.4
130,760,475,20,02-09-2024,4,241.33,Online Payment,13.75,965.32
131,47,35,43,11-02-2025,9,189.17,Cash,13.9,1702.53
132,758,302,65,06-05-2024,8,235.07,Credit Card,5.76,1880.56
133,280,406,30,03-08-2024,6,30.61,Online Payment,19.76,183.66
134,797,286,8,10-08-2024,6,134.52,Debit Card,15.66,807.12
135,481,496,2,25-12-2024,3,89.33,Debit Card,4.14,267.99
136,570,439,95,06-04-2024,6,15.71,Credit Card,10,94.26
137,849,323,19,22-10-2024,1,124.09,Credit Card,3.85,124.09
138,470,247,28,09-04-2024,6,166.35,Cash,7.06,998.1
139,677,355,45,22-10-2024,6,209.37,Online Payment,15.92,1256.22
140,696,40,45,27-02-2025,4,233.84,Debit Card,10.39,935.36
141,346,75,57,23-05-2024,3,52.74,Debit Card,18.29,158.22
142,608,173,71,09-08-2024,9,228.92,Debit Card,0.06,2060.28
143,896,66,99,03-06-2024,7,153.68,Debit Card,19.09,1075.76
144,996,200,60,24-10-2024,8,158.65,Cash,1.79,1269.2
145,800,230,60,14-04-2024,9,204.78,Debit Card,0.25,1843.02
146,993,98,58,14-11-2024,4,69.86,Online Payment,12.91,279.44
147,679,410,7,24-05-2024,2,119.59,Cash,19.79,239.18
148,483,210,34,15-03-2025,2,74.27,Online Payment,2.82,148.54
149,390,34,89,05-11-2024,9,100.41,Cash,10.77,903.69
150,856,9,47,16-04-2024,4,174.25,Online Payment,0.56,697
151,136,46,33,10-04-2024,3,165.77,Credit Card,3.62,497.31
152,214,118,10,29-06-2024,8,159.03,Debit Card,3.74,1272.24
153,4,188,13,08-02-2025,6,69.86,Cash,0.76,419.16
154,912,415,38,21-10-2024,1,79.4,Debit Card,9.67,79.4
155,841,220,61,10-11-2024,4,174.45,Online Payment,19.92,697.8
156,619,143,78,19-02-2025,5,105.9,Online Payment,3.5,529.5
157,803,44,92,22-11-2024,6,174.61,Online Payment,9.44,1047.66
158,750,292,92,17-06-2024,3,108.81,Online Payment,4.16,326.43
159,951,49,80,28-06-2024,8,214.21,Cash,7.39,1713.68
160,476,365,33,29-09-2024,5,84.63,Debit Card,10.8,423.15
161,392,358,70,09-11-2024,5,182.79,Credit Card,6.58,913.95
162,752,49,20,14-12-2024,9,188.59,Online Payment,0.01,1697.31
163,111,254,15,26-04-2024,3,42.8,Credit Card,6.9,128.4
164,157,320,83,09-06-2024,9,18.22,Debit Card,16.63,163.98
165,478,96,4,25-10-2024,8,52.78,Cash,18.31,422.24
166,520,265,74,21-07-2024,5,148.57,Credit Card,1.39,742.85
167,948,326,58,10-10-2024,2,10.61,Cash,8.58,21.22
168,789,343,39,30-03-2025,9,247.1,Online Payment,11.22,2223.9
169,177,423,84,09-02-2025,5,214.21,Cash,13.53,1071.05
170,644,142,24,04-06-2024,6,245.23,Debit Card,6.14,1471.38
171,331,230,73,26-04-2024,6,190.98,Online Payment,5.35,1145.88
172,597,453,96,03-10-2024,4,76.15,Credit Card,3.92,304.6
173,575,130,98,01-04-2024,1,28.54,Cash,13.83,28.54
174,266,124,60,10-06-2024,4,119.59,Cash,2.29,478.36
175,244,417,94,25-08-2024,8,36.59,Credit Card,1.32,292.72
176,287,295,98,03-12-2024,1,36.74,Credit Card,12.24,36.74
177,549,393,58,07-02-2025,9,86.28,Debit Card,11.72,776.52
178,866,56,9,21-07-2024,4,222.8,Credit Card,15.85,891.2
179,271,406,44,07-06-2024,4,169.64,Online Payment,10.98,678.56
180,199,38,94,06-11-2024,9,197.04,Debit Card,6.57,1773.36
181,183,301,35,14-01-2025,1,168.41,Debit Card,17.13,168.41
182,581,347,9,20-02-2025,6,91.61,Debit Card,19.67,549.66
183,573,41,82,26-03-2025,9,85.18,Debit Card,11,766.62
184,802,92,15,15-09-2024,8,22.02,Cash,2.6,176.16
185,783,272,98,12-08-2024,8,111.01,Cash,8.53,888.08
186,44,283,78,11-08-2024,7,118.54,Credit Card,11.14,829.78
187,136,54,68,18-06-2024,3,218.39,Credit Card,0.12,655.17
188,682,433,52,02-09-2024,5,203.04,Credit Card,13.43,1015.2
189,721,342,4,15-02-2025,2,40.06,Debit Card,2.71,80.12
190,3,73,39,21-03-2025,5,212.85,Cash,7,1064.25
191,508,146,15,13-02-2025,5,195.83,Debit Card,7.07,979.15
192,845,266,1,21-09-2024,7,217.37,Debit Card,11,1521.59
193,500,224,51,02-11-2024,7,90.95,Credit Card,11.95,636.65
194,60,9,35,11-12-2024,7,137.31,Online Payment,10.23,961.17
195,292,115,8,17-09-2024,3,115.32,Credit Card,5.71,345.96
196,19,471,25,12-10-2024,4,10.37,Cash,8.05,41.48
197,909,194,14,14-12-2024,3,108.38,Online Payment,3.3,325.14
198,180,32,63,28-12-2024,4,103.5,Cash,1.58,414
199,988,421,65,17-08-2024,3,35.86,Cash,0.43,107.58
200,483,34,21,26-07-2024,6,190.13,Online Payment,15.25,1140.78
201,707,301,35,19-05-2024,3,207.96,Credit Card,7.54,623.88
202,624,3,27,19-05-2024,2,162.74,Debit Card,8.29,325.48
203,375,186,79,05-11-2024,4,40.06,Online Payment,7.67,160.24
204,692,427,79,01-09-2024,9,90.95,Online Payment,1.62,818.55
205,985,377,10,18-10-2024,7,35.45,Debit Card,10.43,248.15
206,515,91,51,04-12-2024,6,17.28,Debit Card,11.33,103.68
207,921,435,41,11-10-2024,6,29.81,Online Payment,4.44,178.86
208,492,153,53,12-07-2024,4,134.55,Online Payment,16.42,538.2
209,540,232,71,04-12-2024,9,101.04,Credit Card,3.21,909.36
210,829,409,90,14-02-2025,3,121.94,Debit Card,15.43,365.82
211,123,20,39,09-07-2024,5,224.27,Debit Card,19.83,1121.35
212,682,185,48,30-05-2024,9,135.63,Cash,14.61,1220.67
213,191,103,70,19-08-2024,9,62.49,Cash,1.27,562.41
214,699,462,27,01-01-2025,7,153.87,Cash,16.72,1077.09
215,260,189,59,03-03-2025,3,49.58,Online Payment,7.55,148.74
216,808,69,53,25-11-2024,1,188.59,Cash,11.68,188.59
217,399,69,36,11-06-2024,9,21.86,Cash,9.06,196.74
218,403,207,96,11-06-2024,4,87.77,Cash,11.1,351.08
219,857,45,13,10-02-2025,2,209.37,Credit Card,10.68,418.74
220,46,27,18,01-09-2024,8,248.71,Cash,2.21,1989.68
221,643,220,19,09-04-2024,5,23.03,Online Payment,7.7,115.15
222,961,297,28,05-04-2024,5,188.59,Online Payment,15.15,942.95
223,717,362,40,18-02-2025,3,108.38,Credit Card,1.31,325.14
224,899,29,73,16-12-2024,4,155.02,Online Payment,14.46,620.08
225,426,449,40,11-09-2024,9,120.52,Credit Card,19.75,1084.68
226,494,385,28,02-02-2025,3,44.99,Credit Card,0.51,134.97
227,729,216,68,30-06-2024,7,213.34,Debit Card,9.46,1493.38
228,362,391,45,19-04-2024,9,75.85,Online Payment,10.3,682.65
229,181,105,88,07-02-2025,9,149.03,Online Payment,2.44,1341.27
230,82,235,16,16-11-2024,7,196.64,Debit Card,16.82,1376.48
231,461,293,34,27-12-2024,1,51.54,Debit Card,7.91,51.54
232,696,435,29,18-07-2024,4,143.24,Debit Card,11.6,572.96
233,226,171,13,04-03-2025,9,49,Online Payment,16.46,441
234,851,482,41,03-03-2025,8,163.19,Online Payment,4.85,1305.52
235,779,321,75,08-06-2024,9,72.68,Cash,17.69,654.12
236,433,156,52,25-10-2024,3,245.29,Credit Card,3.87,735.87
237,822,97,27,17-07-2024,6,207.96,Debit Card,12.57,1247.76
238,485,422,59,21-07-2024,1,158.35,Debit Card,4.02,158.35
239,445,330,43,29-11-2024,6,189.17,Cash,18.99,1135.02
240,361,360,80,24-12-2024,3,239.64,Online Payment,8.53,718.92
241,708,299,34,19-02-2025,7,15.37,Cash,12.07,107.59
242,360,53,36,10-01-2025,5,120.18,Cash,5.29,600.9
243,482,24,29,28-04-2024,5,161.89,Debit Card,6.66,809.45
244,785,65,13,16-01-2025,1,10.37,Debit Card,19.33,10.37
245,196,367,51,25-10-2024,3,101.83,Cash,14.82,305.49
246,602,379,80,12-07-2024,9,30.5,Cash,7.56,274.5
247,689,108,41,10-06-2024,4,64.94,Credit Card,17.68,259.76
248,830,239,80,21-07-2024,4,53.23,Credit Card,4.07,212.92
249,705,344,20,21-03-2025,3,212.59,Online Payment,0.01,637.77
250,73,21,31,10-10-2024,7,126.93,Online Payment,15.57,888.51
251,86,238,72,01-05-2024,3,182.79,Debit Card,5.81,548.37
252,403,379,52,04-05-2024,5,235.86,Online Payment,10.95,1179.3
253,983,213,48,12-12-2024,1,108.92,Credit Card,9.19,108.92
254,979,336,55,11-05-2024,8,146.48,Debit Card,7.68,1171.84
255,52,19,81,18-12-2024,2,109.67,Cash,15.62,219.34
256,818,347,29,11-05-2024,7,134.02,Cash,5.91,938.14
257,501,121,84,11-08-2024,4,149.51,Debit Card,0.19,598.04
258,225,73,42,13-05-2024,4,148.73,Cash,0.54,594.92
259,616,476,40,14-09-2024,9,207.29,Online Payment,15.39,1865.61
260,621,404,42,11-07-2024,4,54.39,Cash,5.88,217.56
261,147,428,53,10-11-2024,5,160.2,Credit Card,11.6,801
262,188,487,27,01-10-2024,3,18.22,Cash,2.86,54.66
263,296,84,29,01-10-2024,2,92.42,Online Payment,12.29,184.84
264,771,265,33,26-11-2024,4,230.96,Credit Card,11.35,923.84
265,229,208,20,22-01-2025,5,120.52,Cash,11.66,602.6
266,703,284,9,23-05-2024,4,113.77,Online Payment,17.54,455.08
267,444,203,12,30-06-2024,9,211.18,Debit Card,17.94,1900.62
268,605,136,30,25-07-2024,7,110.63,Online Payment,1.85,774.41
269,849,273,18,15-08-2024,4,38.27,Debit Card,3.59,153.08
270,719,400,55,27-07-2024,6,243.84,Debit Card,10.7,1463.04
271,270,250,95,03-04-2024,3,97.3,Debit Card,5.21,291.9
272,597,417,83,26-03-2025,5,216.23,Online Payment,7.6,1081.15
273,934,129,92,09-09-2024,8,121.44,Debit Card,4.82,971.52
274,337,98,31,17-11-2024,9,196.64,Debit Card,1.06,1769.76
275,405,332,62,19-05-2024,2,192.42,Cash,6.02,384.84
276,349,105,70,29-04-2024,2,42.8,Credit Card,17.09,85.6
277,309,90,23,17-01-2025,2,191.85,Credit Card,9.92,383.7
278,389,217,91,16-09-2024,9,27.65,Credit Card,1.91,248.85
279,291,186,63,29-07-2024,2,33.9,Credit Card,5.03,67.8
280,236,132,37,29-05-2024,8,58.21,Debit Card,3.19,465.68
281,621,474,35,23-02-2025,5,187.88,Online Payment,11.51,939.4
282,243,327,12,02-10-2024,6,153.62,Debit Card,12.06,921.72
283,215,369,33,11-04-2024,2,232.75,Credit Card,16.67,465.5
284,449,253,79,12-06-2024,1,187.56,Online Payment,13.56,187.56
285,456,493,70,07-10-2024,3,64.09,Debit Card,9.44,192.27
286,932,42,15,12-11-2024,7,120.38,Credit Card,12.16,842.66
287,728,277,49,17-03-2025,9,84.63,Debit Card,11.41,761.67
288,20,170,81,04-06-2024,2,192.43,Credit Card,7.27,384.86
289,271,185,81,12-05-2024,1,212.85,Debit Card,13.78,212.85
290,38,48,64,27-07-2024,2,133.13,Debit Card,15.61,266.26
291,952,468,46,19-07-2024,6,211.18,Debit Card,16.44,1267.08
292,767,449,49,02-07-2024,4,120.18,Credit Card,12.04,480.72
293,801,64,100,23-09-2024,5,133.13,Online Payment,4.88,665.65
294,872,410,19,29-06-2024,1,37.95,Credit Card,4.26,37.95
295,647,77,42,14-08-2024,1,111.01,Debit Card,16.7,111.01
296,143,416,49,05-07-2024,4,118.53,Debit Card,14.19,474.12
297,630,94,100,16-09-2024,7,43.06,Online Payment,3.08,301.42
298,946,209,22,13-05-2024,2,17.28,Debit Card,2.85,34.56
299,901,108,17,06-03-2025,8,249.26,Credit Card,17.83,1994.08
300,195,437,87,17-09-2024,8,104.34,Online Payment,11.38,834.72
301,293,58,92,03-06-2024,3,181.18,Debit Card,2.21,543.54
302,649,119,77,17-01-2025,9,93.68,Credit Card,8.22,843.12
303,383,270,60,03-09-2024,2,36.59,Debit Card,8.85,73.18
304,774,54,41,01-01-2025,3,125.45,Credit Card,3.12,376.35
305,142,192,54,14-09-2024,3,248.56,Cash,16.14,745.68
306,803,200,2,05-02-2025,1,75.51,Debit Card,13.64,75.51
307,10,192,44,09-08-2024,8,228.92,Cash,16.97,1831.36
308,185,109,74,15-04-2024,4,113.77,Online Payment,10.65,455.08
309,539,262,4,12-01-2025,6,124.51,Debit Card,4.68,747.06
310,638,225,66,13-06-2024,7,45.24,Debit Card,15.12,316.68
311,35,354,64,02-02-2025,9,86.28,Online Payment,5.67,776.52
312,409,314,31,14-05-2024,3,153.62,Cash,12.6,460.86
313,181,35,97,26-09-2024,9,192.43,Credit Card,8.7,1731.87
314,73,1,78,02-03-2025,4,171.65,Online Payment,2.99,686.6
315,471,284,35,25-07-2024,9,46.53,Credit Card,8.25,418.77
316,770,205,94,31-10-2024,2,85.18,Credit Card,2.77,170.36
317,890,122,19,20-11-2024,7,49.58,Online Payment,6.1,347.06
318,127,442,40,09-04-2024,7,192.42,Debit Card,13.32,1346.94
319,32,288,100,18-09-2024,7,35.86,Cash,11.18,251.02
320,468,86,77,23-08-2024,6,17.13,Online Payment,11.89,102.78
321,969,385,47,28-05-2024,1,51.08,Online Payment,3.53,51.08
322,827,418,31,25-12-2024,2,49,Credit Card,19.51,98
323,806,221,40,29-10-2024,3,96.13,Credit Card,19.44,288.39
324,8,401,73,23-04-2024,9,93.68,Debit Card,17.34,843.12
325,769,85,34,09-01-2025,2,58.26,Debit Card,3.41,116.52
326,334,162,27,26-03-2025,9,37.54,Cash,18.62,337.86
327,279,415,96,13-01-2025,6,115.51,Debit Card,4.87,693.06
328,773,140,47,13-09-2024,1,29.81,Online Payment,16.43,29.81
329,220,387,94,21-11-2024,6,161.04,Debit Card,6.78,966.24
330,537,107,44,01-08-2024,7,153.65,Cash,19.03,1075.55
331,765,306,88,05-02-2025,6,35.86,Credit Card,17.94,215.16
332,597,214,69,02-02-2025,9,88.98,Credit Card,16.72,800.82
333,213,277,45,27-05-2024,8,234.18,Online Payment,19.09,1873.44
334,508,451,75,09-06-2024,3,28.54,Credit Card,4.15,85.62
335,884,6,4,03-11-2024,1,216.6,Credit Card,11.18,216.6
336,330,499,23,24-09-2024,5,225.38,Online Payment,19.33,1126.9
337,49,221,63,17-11-2024,3,96.13,Debit Card,1.82,288.39
338,543,405,98,18-11-2024,2,105.78,Online Payment,19.4,211.56
339,734,223,40,14-01-2025,7,216.6,Credit Card,15.97,1516.2
340,653,315,3,08-03-2025,9,129.14,Online Payment,19.36,1162.26
341,153,300,55,13-03-2025,4,77.05,Online Payment,6.21,308.2
342,76,30,44,25-09-2024,9,20.74,Credit Card,3.53,186.66
343,897,355,3,05-03-2025,6,109.67,Credit Card,14.28,658.02
344,657,282,42,29-09-2024,3,246.88,Cash,17.7,740.64
345,847,338,58,28-01-2025,3,202.34,Debit Card,3.59,607.02
346,372,90,21,04-04-2024,2,88.72,Online Payment,16.98,177.44
347,711,398,13,30-04-2024,2,247.01,Debit Card,15.96,494.02
348,386,204,91,28-12-2024,7,115.89,Cash,3.39,811.23
349,393,448,86,08-08-2024,8,159.13,Online Payment,10.49,1273.04
350,596,291,46,09-08-2024,2,216.34,Credit Card,11.69,432.68
351,487,122,58,12-10-2024,7,52.78,Credit Card,15.46,369.46
352,245,162,28,25-05-2024,7,202.34,Online Payment,9.16,1416.38
353,330,233,53,12-09-2024,7,16.92,Credit Card,8.19,118.44
354,332,348,17,22-06-2024,4,72.68,Debit Card,2.33,290.72
355,935,500,96,28-02-2025,2,214.76,Credit Card,4.5,429.52
356,876,318,17,30-08-2024,9,229.19,Cash,6.79,2062.71
357,198,109,6,20-12-2024,1,93.95,Cash,19.05,93.95
358,134,445,29,15-03-2025,6,83.43,Online Payment,2.31,500.58
359,628,163,73,23-03-2025,2,61.96,Online Payment,2.79,123.92
360,810,178,25,22-01-2025,3,227.25,Debit Card,15.06,681.75
361,444,170,38,25-07-2024,3,95.66,Debit Card,3.49,286.98
362,501,61,48,19-01-2025,8,145.1,Online Payment,1.42,1160.8
363,820,2,3,27-05-2024,2,122.03,Online Payment,8.67,244.06
364,170,97,56,23-06-2024,8,53.5,Online Payment,10.94,428
365,874,327,65,22-09-2024,2,138.76,Online Payment,2.25,277.52
366,234,459,55,26-10-2024,4,33.38,Online Payment,6.65,133.52
367,859,318,47,15-01-2025,9,42.59,Online Payment,15.01,383.31
368,896,425,5,07-12-2024,6,19.76,Online Payment,14.38,118.56
369,114,247,90,04-09-2024,7,15.78,Online Payment,8.52,110.46
370,466,142,14,10-10-2024,9,143.21,Online Payment,5.93,1288.89
371,116,436,82,03-06-2024,4,197.32,Credit Card,11.94,789.28
372,153,290,58,07-01-2025,3,72.38,Online Payment,12.44,217.14
373,733,348,80,28-11-2024,4,130.29,Cash,1.71,521.16
374,526,129,33,30-01-2025,8,88.98,Credit Card,7.47,711.84
375,19,318,82,31-07-2024,3,197.04,Debit Card,6.2,591.12
376,832,390,42,06-10-2024,2,54.39,Online Payment,4.32,108.78
377,168,278,58,07-11-2024,8,69.16,Online Payment,1.38,553.28
378,525,262,90,21-06-2024,4,187.04,Cash,15.27,748.16
379,508,70,95,18-11-2024,5,192.73,Online Payment,6.63,963.65
380,545,486,40,13-02-2025,8,153.91,Debit Card,12.92,1231.28
381,151,8,34,12-03-2025,5,23.08,Credit Card,4.61,115.4
382,554,431,11,27-03-2025,9,120.52,Credit Card,9.7,1084.68
383,149,46,81,12-09-2024,9,113.24,Online Payment,7.94,1019.16
384,580,308,66,30-04-2024,6,182.79,Credit Card,17.37,1096.74
385,505,344,75,04-09-2024,3,130.29,Online Payment,6.48,390.87
386,702,451,77,18-08-2024,4,179.99,Online Payment,7.2,719.96
387,11,317,14,01-06-2024,9,127.19,Online Payment,8.09,1144.71
388,168,139,75,03-10-2024,7,145.1,Cash,9.55,1015.7
389,869,12,24,18-11-2024,7,146.48,Credit Card,5.46,1025.36
390,14,67,48,09-06-2024,5,17.13,Debit Card,1.44,85.65
391,652,486,59,16-08-2024,1,91.61,Cash,4.13,91.61
392,673,45,30,22-12-2024,3,33.9,Cash,5.9,101.7
393,299,391,49,22-02-2025,2,216.33,Debit Card,18.53,432.66
394,1000,416,51,26-03-2025,9,162.84,Debit Card,5.7,1465.56
395,179,286,49,07-07-2024,4,59.59,Debit Card,6.83,238.36
396,919,287,65,13-11-2024,6,195.83,Online Payment,3.15,1174.98
397,424,463,44,29-11-2024,2,51.18,Online Payment,8.33,102.36
398,438,240,44,23-04-2024,2,40.06,Debit Card,7.76,80.12
399,784,305,4,15-01-2025,8,248.71,Cash,11.97,1989.68
400,754,207,78,21-02-2025,4,86.28,Cash,6.37,345.12
